knot_id_base,number_of_crossings,is_alternating,signature,s_invariant_qc,all5_ge3,no_khovanov_ge3of4,G_abs_s_minus_sigma,G_abs_abs_s_minus_abs_sigma,khovanov_F_support_size,khovanov_F_q_minus_2t_diagonal_count
15n123296,15,0,2,2,False,False,0.0,0.0,35,3
15n123297,15,0,0,0,False,False,0.0,0.0,24,2
15n123298,15,0,2,2,False,False,0.0,0.0,37,3
15n123299,15,0,0,0,False,False,0.0,0.0,37,3
15n123300,15,0,2,2,False,False,0.0,0.0,35,3
15n123301,15,0,0,0,False,False,0.0,0.0,24,2
15n123302,15,0,2,0,False,False,2.0,2.0,35,3
15n123303,15,0,2,2,False,False,0.0,0.0,33,3
15n123304,15,0,2,2,False,False,0.0,0.0,26,2
15n123305,15,0,2,2,False,False,0.0,0.0,37,3
15n123306,15,0,0,0,False,False,0.0,0.0,24,2
15n123307,15,0,0,0,False,False,0.0,0.0,37,3
15n123308,15,0,2,2,False,False,0.0,0.0,26,2
15n123309,15,0,2,0,False,False,2.0,2.0,35,3
15n123310,15,0,2,2,False,False,0.0,0.0,33,3
15n123311,15,0,2,2,False,False,0.0,0.0,26,2
15n123312,15,0,0,0,False,False,0.0,0.0,37,3
15n123313,15,0,2,2,False,False,0.0,0.0,26,2
15n123314,15,0,2,2,False,False,0.0,0.0,34,3
15n123315,15,0,0,0,False,False,0.0,0.0,36,3
15n123316,15,0,2,2,False,False,0.0,0.0,35,3
15n123317,15,0,4,4,False,False,0.0,0.0,26,2
15n123318,15,0,0,0,False,False,0.0,0.0,37,3
15n123319,15,0,0,0,False,False,0.0,0.0,36,3
15n123320,15,0,4,4,False,False,0.0,0.0,26,2
15n123321,15,0,2,2,False,False,0.0,0.0,36,3
15n123322,15,0,0,0,False,False,0.0,0.0,36,3
15n123323,15,0,2,2,False,False,0.0,0.0,26,2
15n123324,15,0,0,0,False,False,0.0,0.0,24,2
15n123325,15,0,4,4,False,False,0.0,0.0,26,2
15n123326,15,0,0,0,False,False,0.0,0.0,26,2
15n123327,15,0,2,0,False,False,2.0,2.0,36,3
15n123328,15,0,4,4,False,False,0.0,0.0,34,3
15n123329,15,0,0,0,False,False,0.0,0.0,26,2
15n123330,15,0,2,2,False,False,0.0,0.0,26,2
15n123331,15,0,2,2,False,False,0.0,0.0,26,2
15n123332,15,0,2,2,False,False,0.0,0.0,26,2
15n123333,15,0,0,0,False,False,0.0,0.0,26,2
15n123334,15,0,2,2,False,False,0.0,0.0,38,3
15n123335,15,0,0,0,False,False,0.0,0.0,38,3
15n123336,15,0,2,2,False,False,0.0,0.0,38,3
15n123337,15,0,0,0,False,False,0.0,0.0,38,3
15n123338,15,0,4,6,False,False,2.0,2.0,36,3
15n123339,15,0,4,4,False,False,0.0,0.0,34,3
15n123340,15,0,0,0,False,False,0.0,0.0,26,2
15n123341,15,0,2,2,False,False,0.0,0.0,37,3
15n123342,15,0,2,0,False,False,2.0,2.0,34,3
15n123343,15,0,2,2,False,False,0.0,0.0,26,2
15n123344,15,0,0,0,False,False,0.0,0.0,26,2
15n123345,15,0,4,4,False,False,0.0,0.0,26,2
