oracle    | moderate   | heteroskedastic    | 64/100 | selected=244 | p_mult=0.5375
oracle    | moderate   | heteroskedastic    | 65/100 | selected=265 | p_mult=0.9425
oracle    | moderate   | heteroskedastic    | 66/100 | selected=281 | p_mult=0.21
oracle    | moderate   | heteroskedastic    | 67/100 | selected=256 | p_mult=0.8275
oracle    | moderate   | heteroskedastic    | 68/100 | selected=244 | p_mult=0.37
oracle    | moderate   | heteroskedastic    | 69/100 | selected=218 | p_mult=0.485
oracle    | moderate   | heteroskedastic    | 70/100 | selected=237 | p_mult=0.11
oracle    | moderate   | heteroskedastic    | 71/100 | selected=271 | p_mult=0.0225
oracle    | moderate   | heteroskedastic    | 72/100 | selected=237 | p_mult=0.3775
oracle    | moderate   | heteroskedastic    | 73/100 | selected=237 | p_mult=0.8675
oracle    | moderate   | heteroskedastic    | 74/100 | selected=253 | p_mult=0.61
oracle    | moderate   | heteroskedastic    | 75/100 | selected=230 | p_mult=0.0125
oracle    | moderate   | heteroskedastic    | 76/100 | selected=234 | p_mult=0.7075
oracle    | moderate   | heteroskedastic    | 77/100 | selected=242 | p_mult=0.985
oracle    | moderate   | heteroskedastic    | 78/100 | selected=224 | p_mult=0.815
oracle    | moderate   | heteroskedastic    | 79/100 | selected=257 | p_mult=0.34
oracle    | moderate   | heteroskedastic    | 80/100 | selected=237 | p_mult=0.76
oracle    | moderate   | heteroskedastic    | 81/100 | selected=228 | p_mult=0.0775
oracle    | moderate   | heteroskedastic    | 82/100 | selected=252 | p_mult=0.165
oracle    | moderate   | heteroskedastic    | 83/100 | selected=251 | p_mult=0.6925
oracle    | moderate   | heteroskedastic    | 84/100 | selected=240 | p_mult=0.0575
oracle    | moderate   | heteroskedastic    | 85/100 | selected=230 | p_mult=0.6325
oracle    | moderate   | heteroskedastic    | 86/100 | selected=247 | p_mult=0.685
oracle    | moderate   | heteroskedastic    | 87/100 | selected=242 | p_mult=0.605
oracle    | moderate   | heteroskedastic    | 88/100 | selected=240 | p_mult=0.7375
oracle    | moderate   | heteroskedastic    | 89/100 | selected=243 | p_mult=0.0725
oracle    | moderate   | heteroskedastic    | 90/100 | selected=252 | p_mult=0.9575
