example_rank,knot_a,knot_b,same_HOMFLY_PT_exact,kh_diagonal_a,kh_diagonal_b,kh_diagonal_abs_difference,kh_support_a,kh_support_b,theta_percentile_a,theta_percentile_b,theta_percentile_abs_difference,four_view_aggregate_a,four_view_aggregate_b,four_view_aggregate_abs_difference,four_view_selected_a,four_view_selected_b,four_view_split_pair,pair_aggregate_a,pair_aggregate_b,pair_selected_a,pair_selected_b,alternating_a,alternating_b,crossing_a,crossing_b,Alexander_percentile_a,Alexander_percentile_b,Jones_percentile_a,Jones_percentile_b,HOMFLY_PT_percentile_a,HOMFLY_PT_percentile_b,Theta_percentile_a,Theta_percentile_b
47,15n033048,15n104424,True,2.0,3.0,1.0,24.0,28.0,0.4439182717888688,0.4718420772586996,0.02792380546983081,0.4439182717888688,0.4718420772586996,0.02792380546983081,False,False,False,0.2818346280727892,0.2818346280727892,False,False,0,0,15,15,0.644865382568905,0.644865382568905,0.52560391614345,0.52560391614345,0.2818346280727892,0.2818346280727892,0.4439182717888688,0.4718420772586996
48,14n07963,15n060883,True,2.0,3.0,1.0,21.0,27.0,0.13270192614664256,0.16041289773331915,0.027710971586676597,0.3420879003937427,0.3420879003937427,0.0,False,False,False,0.13270192614664256,0.16041289773331915,False,False,0,0,14,15,0.601723954453549,0.601723954453549,0.6826966052995637,0.6826966052995637,0.3420879003937427,0.3420879003937427,0.13270192614664256,0.16041289773331915
49,15n059044,15n057705,True,2.0,3.0,1.0,20.0,28.0,0.6662019793551134,0.6430350111737788,0.02316696818133457,0.622634883473449,0.622634883473449,0.0,False,False,False,0.1742151750558689,0.1742151750558689,False,False,0,0,15,15,0.622634883473449,0.622634883473449,0.9000212833883154,0.9000212833883154,0.1742151750558689,0.1742151750558689,0.6662019793551134,0.6430350111737788
50,14n15507,14n15911,True,2.0,3.0,1.0,20.0,23.0,0.6127274662126211,0.6321485580504417,0.019421091837820592,0.07566244546131744,0.07566244546131744,0.0,False,False,False,0.03436203043524529,0.03436203043524529,False,False,0,0,14,14,0.07566244546131744,0.07566244546131744,0.8663190379908482,0.8663190379908482,0.03436203043524529,0.03436203043524529,0.6127274662126211,0.6321485580504417
51,15n103472,15n091292,True,2.0,3.0,1.0,24.0,27.0,0.13670320314994147,0.15407044801532405,0.017367244865382575,0.29799936149835055,0.29799936149835055,0.0,False,False,False,0.13670320314994147,0.15407044801532405,False,False,0,0,15,15,0.46726614877088435,0.46726614877088435,0.29799936149835055,0.29799936149835055,0.8119080557624774,0.8119080557624774,0.13670320314994147,0.15407044801532405
52,15n033082,15n067853,True,2.0,3.0,1.0,24.0,25.0,0.22552942428434608,0.23850164946259444,0.012972225178248364,0.24793019048632542,0.24793019048632542,0.0,False,False,False,0.22552942428434608,0.23850164946259444,False,False,0,0,15,15,0.24793019048632542,0.24793019048632542,0.9252633819304034,0.9252633819304034,0.5403107374694052,0.5403107374694052,0.22552942428434608,0.23850164946259444
53,12a0845,15n014048,True,2.0,3.0,1.0,24.0,25.0,0.6471959135894434,0.6343088219644567,0.01288709162498669,0.3254549324252421,0.3254549324252421,0.0,False,False,False,0.3254549324252421,0.3254549324252421,False,False,1,0,12,15,0.12774289666914973,0.12774289666914973,0.800404384377993,0.800404384377993,0.3254549324252421,0.3254549324252421,0.6471959135894434,0.6343088219644567
54,14n18135,15n116229,True,2.0,3.0,1.0,24.0,25.0,0.16041289773331915,0.14764286474406726,0.01277003298925189,0.41348302649781843,0.41348302649781843,0.0,False,False,False,0.16041289773331915,0.14764286474406726,False,False,0,0,14,15,0.6750984356709588,0.6750984356709588,0.41348302649781843,0.41348302649781843,0.514749388102586,0.514749388102586,0.16041289773331915,0.14764286474406726
55,15n059204,15n013163,True,2.0,3.0,1.0,20.0,21.0,0.9089390230924763,0.9193998084495052,0.010460785357028879,0.5438757050122379,0.5438757050122379,0.0,False,False,False,0.23153133978929447,0.23153133978929447,False,False,0,0,15,15,0.5438757050122379,0.5438757050122379,0.575971054591891,0.575971054591891,0.23153133978929447,0.23153133978929447,0.9089390230924763,0.9193998084495052
56,15n113756,15n016152,True,2.0,3.0,1.0,20.0,25.0,0.8354261998510163,0.8453229754176865,0.009896775566670235,0.18310098967755667,0.18310098967755667,0.0,False,False,False,0.5586250931148239,0.5586250931148239,False,False,0,0,15,15,0.18310098967755667,0.18310098967755667,0.07392784931361072,0.07392784931361072,0.5586250931148239,0.5586250931148239,0.8354261998510163,0.8453229754176865
57,14n10533,13n0780,True,2.0,3.0,1.0,20.0,23.0,0.5145152708311164,0.5054804724912206,0.009034798339895733,0.2790145791209961,0.2790145791209961,0.0,False,False,False,0.18049377460891775,0.18049377460891775,False,False,0,0,14,13,0.2790145791209961,0.2790145791209961,0.8815047355539002,0.8815047355539002,0.18049377460891775,0.18049377460891775,0.5145152708311164,0.5054804724912206
58,15n148934,15n104421,True,2.0,3.0,1.0,24.0,27.0,0.9474725976375439,0.9384590826859636,0.009013514951580315,0.35132489092263486,0.35132489092263486,0.0,False,False,False,0.05709268915611365,0.05709268915611365,False,False,0,0,15,15,0.5664254549324252,0.5664254549324252,0.35132489092263486,0.35132489092263486,0.05709268915611365,0.05709268915611365,0.9474725976375439,0.9384590826859636
59,15n071543,15n009132,True,2.0,3.0,1.0,24.0,25.0,0.3089815898691072,0.31743109503032885,0.008449505161221671,0.4171969777588592,0.4171969777588592,0.0,False,False,False,0.3089815898691072,0.31743109503032885,False,False,0,0,15,15,0.5376715973182931,0.5376715973182931,0.9558476109396616,0.9558476109396616,0.4171969777588592,0.4171969777588592,0.3089815898691072,0.31743109503032885
60,15n132146,15n128926,True,2.0,3.0,1.0,18.0,25.0,0.7775566670213898,0.7692455038842184,0.008311163137171396,0.27848249441311057,0.27848249441311057,0.0,False,False,False,0.27848249441311057,0.27848249441311057,False,False,0,0,15,15,0.2267532191124827,0.2267532191124827,0.6975949771203576,0.6975949771203576,0.27848249441311057,0.27848249441311057,0.7775566670213898,0.7692455038842184
61,15n151004,15n068303,True,2.0,3.0,1.0,24.0,26.0,0.8153878897520486,0.8085027136320102,0.006885176120038361,0.6292965840161754,0.6292965840161754,0.0,False,False,False,0.6292965840161754,0.6292965840161754,False,False,0,0,15,15,0.40146855379376395,0.40146855379376395,0.7454932425242099,0.7454932425242099,0.6292965840161754,0.6292965840161754,0.8153878897520486,0.8085027136320102
62,14n02643,15n040309,True,2.0,3.0,1.0,24.0,28.0,0.005693306374374801,0.009960625731616473,0.004267319357241672,0.08686814940938598,0.08686814940938598,0.0,False,False,False,0.005693306374374801,0.009960625731616473,False,False,0,0,14,15,0.08686814940938598,0.08686814940938598,0.274576992657231,0.274576992657231,0.19877620517186337,0.19877620517186337,0.005693306374374801,0.009960625731616473
63,15n042773,15n049941,True,2.0,3.0,1.0,24.0,25.0,0.43860806640417155,0.43442588060019155,0.004182185803979999,0.3279238054698308,0.3279238054698308,0.0,False,False,False,0.29174204533361714,0.29174204533361714,False,False,0,0,15,15,0.3279238054698308,0.3279238054698308,0.9365329360434181,0.9365329360434181,0.29174204533361714,0.29174204533361714,0.43860806640417155,0.43442588060019155
64,15n110319,15n096320,True,2.0,3.0,1.0,20.0,22.0,0.3698520804512078,0.36589337022453977,0.00395871022666805,0.3698520804512078,0.36589337022453977,0.00395871022666805,False,False,False,0.2482281579227413,0.2482281579227413,False,False,0,0,15,15,0.861445142066617,0.861445142066617,0.5908481430243695,0.5908481430243695,0.2482281579227413,0.2482281579227413,0.3698520804512078,0.36589337022453977
