source,family,method,metric,n_selected,bootstrap_unit,inference_target,observed,bootstrap_mean,bootstrap_se,ci_level,ci_low,ci_high,n_valid_bootstrap,member_set
stage23_standard_scores,No Khovanov >=3/4,conditional_percentile_100,kh_diagonal_mean,31,canonical knot,finite-atlas empirical stability,3.161290322580645,3.161825806451613,0.11346403960196837,0.95,2.935483870967742,3.3870967741935485,5000,
stage23_standard_scores,No Khovanov >=3/4,conditional_percentile_100,kh_diagonal_ge_3_prop,31,canonical knot,finite-atlas empirical stability,0.8709677419354839,0.8704967741935484,0.05986349034858313,0.95,0.7419354838709677,0.967741935483871,5000,
stage23_standard_scores,No Khovanov >=3/4,conditional_percentile_100,kh_diagonal_ge_4_prop,31,canonical knot,finite-atlas empirical stability,0.2903225806451613,0.2913290322580645,0.08242887052254555,0.95,0.12903225806451613,0.45161290322580644,5000,
stage23_standard_scores,No Khovanov >=3/4,conditional_percentile_100,kh_support_mean,31,canonical knot,finite-atlas empirical stability,31.129032258064516,31.129012903225806,0.6524051445489718,0.95,29.838709677419356,32.38709677419355,5000,
stage23_standard_scores,No Khovanov >=3/4,conditional_percentile_100,crossing_15_prop,31,canonical knot,finite-atlas empirical stability,0.9032258064516129,0.9025290322580644,0.05299434731840142,0.95,0.7741935483870968,1.0,5000,
stage23_standard_scores,No Khovanov >=3/4,conditional_percentile_100,alternating_prop,31,canonical knot,finite-atlas empirical stability,0.0967741935483871,0.09711612903225807,0.05329744550070352,0.95,0.0,0.1935483870967742,5000,
stage23B_equal_size_scores,All 5 C3,raw_sse,abs_gap_positive_prop,60,canonical knot,finite-atlas empirical stability,0.96,0.9605561920644823,0.039540843369197956,0.95,0.8665909090909094,1.0,5000,
stage23B_equal_size_scores,All 5 C3,raw_sse,mean_abs_gap,60,canonical knot,finite-atlas empirical stability,2.24,2.238765933959285,0.1761609321476631,0.95,1.9090909090909092,2.5925925925925926,5000,
stage23B_equal_size_scores,All 5 C3,raw_sse,abs_gap_ge_4_prop,60,canonical knot,finite-atlas empirical stability,0.16,0.15882677491516023,0.0751402096237014,0.95,0.03571428571428571,0.3181818181818182,5000,
stage23B_equal_size_scores,All 5 C3,raw_sse,kh_diagonal_mean,60,canonical knot,finite-atlas empirical stability,2.5166666666666666,2.51598,0.08521269243311969,0.95,2.35,2.683333333333333,5000,
stage23B_equal_size_scores,All 5 C3,raw_sse,kh_diagonal_ge_3_prop,60,canonical knot,finite-atlas empirical stability,0.4166666666666667,0.41589,0.06226471223726252,0.95,0.3,0.5333333333333333,5000,
stage23B_equal_size_scores,All 5 C3,raw_sse,kh_diagonal_ge_4_prop,60,canonical knot,finite-atlas empirical stability,0.1,0.10009000000000001,0.038881798554745,0.95,0.03333333333333333,0.18333333333333332,5000,
stage23B_equal_size_scores,All 5 C3,raw_sse,kh_support_mean,60,canonical knot,finite-atlas empirical stability,29.766666666666666,29.759926666666672,0.5705427324357399,0.95,28.566666666666666,30.833333333333332,5000,
stage23B_equal_size_scores,All 5 C3,raw_sse,crossing_15_prop,60,canonical knot,finite-atlas empirical stability,0.9166666666666666,0.9177033333333333,0.03596318477305219,0.95,0.85,0.9833333333333333,5000,
stage23B_equal_size_scores,All 5 C3,raw_sse,alternating_prop,60,canonical knot,finite-atlas empirical stability,0.5833333333333334,0.58411,0.06226471223726251,0.95,0.4666666666666667,0.7,5000,
stage23B_equal_size_scores,All 5 C3,relative_nre,abs_gap_positive_prop,60,canonical knot,finite-atlas empirical stability,0.48333333333333334,0.4831466666666667,0.06342180363365851,0.95,0.36666666666666664,0.6,5000,
stage23B_equal_size_scores,All 5 C3,relative_nre,mean_abs_gap,60,canonical knot,finite-atlas empirical stability,1.0666666666666667,1.0666200000000001,0.15105813958383416,0.95,0.7666666666666667,1.3666666666666667,5000,
stage23B_equal_size_scores,All 5 C3,relative_nre,abs_gap_ge_4_prop,60,canonical knot,finite-atlas empirical stability,0.05,0.05016333333333333,0.028017202720564603,0.95,0.0,0.11666666666666667,5000,
stage23B_equal_size_scores,All 5 C3,relative_nre,kh_diagonal_mean,60,canonical knot,finite-atlas empirical stability,3.183333333333333,3.18364,0.05581294229850918,0.95,3.0833333333333335,3.3,5000,
stage23B_equal_size_scores,All 5 C3,relative_nre,kh_diagonal_ge_3_prop,60,canonical knot,finite-atlas empirical stability,0.9833333333333333,0.9831200000000001,0.01661353938289654,0.95,0.95,1.0,5000,
stage23B_equal_size_scores,All 5 C3,relative_nre,kh_diagonal_ge_4_prop,60,canonical knot,finite-atlas empirical stability,0.2,0.20052,0.05207414317799179,0.95,0.1,0.3,5000,
stage23B_equal_size_scores,All 5 C3,relative_nre,kh_support_mean,60,canonical knot,finite-atlas empirical stability,28.266666666666666,28.251653333333334,0.662708409716886,0.95,26.949583333333333,29.5,5000,
stage23B_equal_size_scores,All 5 C3,relative_nre,crossing_15_prop,60,canonical knot,finite-atlas empirical stability,0.6166666666666667,0.6160866666666667,0.06371139690107008,0.95,0.48333333333333334,0.7333333333333333,5000,
stage23B_equal_size_scores,All 5 C3,relative_nre,alternating_prop,60,canonical knot,finite-atlas empirical stability,0.0,0.0,0.0,0.95,0.0,0.0,5000,
stage23B_equal_size_scores,All 5 C3,residual_mahalanobis,abs_gap_positive_prop,60,canonical knot,finite-atlas empirical stability,0.8695652173913043,0.8679828828664673,0.07180324251406914,0.95,0.7141369047619054,1.0,5000,
stage23B_equal_size_scores,All 5 C3,residual_mahalanobis,mean_abs_gap,60,canonical knot,finite-atlas empirical stability,2.0869565217391304,2.083712759215662,0.23198514590672198,0.95,1.6295138888888894,2.538636363636361,5000,
stage23B_equal_size_scores,All 5 C3,residual_mahalanobis,abs_gap_ge_4_prop,60,canonical knot,finite-atlas empirical stability,0.17391304347826086,0.1738734967413637,0.07932298965990348,0.95,0.04,0.3333333333333333,5000,
stage23B_equal_size_scores,All 5 C3,residual_mahalanobis,kh_diagonal_mean,60,canonical knot,finite-atlas empirical stability,2.4166666666666665,2.4172566666666664,0.0798163407572196,0.95,2.2666666666666666,2.5833333333333335,5000,
stage23B_equal_size_scores,All 5 C3,residual_mahalanobis,kh_diagonal_ge_3_prop,60,canonical knot,finite-atlas empirical stability,0.35,0.35046,0.062210272296071706,0.95,0.23333333333333334,0.4670833333333273,5000,
stage23B_equal_size_scores,All 5 C3,residual_mahalanobis,kh_diagonal_ge_4_prop,60,canonical knot,finite-atlas empirical stability,0.06666666666666667,0.06679666666666667,0.0320645157624228,0.95,0.016666666666666666,0.13333333333333333,5000,
stage23B_equal_size_scores,All 5 C3,residual_mahalanobis,kh_support_mean,60,canonical knot,finite-atlas empirical stability,29.616666666666667,29.604363333333332,0.4911226724514754,0.95,28.599583333333335,30.533749999999994,5000,
stage23B_equal_size_scores,All 5 C3,residual_mahalanobis,crossing_15_prop,60,canonical knot,finite-atlas empirical stability,0.9333333333333333,0.9328900000000001,0.0325774997817779,0.95,0.8666666666666667,0.9833333333333333,5000,
stage23B_equal_size_scores,All 5 C3,residual_mahalanobis,alternating_prop,60,canonical knot,finite-atlas empirical stability,0.6166666666666667,0.6159533333333332,0.0627273667908107,0.95,0.5,0.7333333333333333,5000,
stage23B_equal_size_scores,All 5 C3,residual_isolation_forest,abs_gap_positive_prop,60,canonical knot,finite-atlas empirical stability,0.8947368421052632,0.8945953819319923,0.07304504820595163,0.95,0.7367543859649126,1.0,5000,
