scope,input_family,tuple_group,n_knots,n_pairs,n_width_values,n_free_reflection_orbits,width_diff_pairs,F_diff_mod_reflection_pairs,F_reflection_only_pairs,stored_torsion_direct_diff_pairs
test,four_view_noKh,76939,2,1,1,1,0,0,0,0
test,four_view_noKh,79549,2,1,1,1,0,0,0,0
test,four_view_noKh,82486,2,1,1,1,0,0,0,0
test,four_view_noKh,82677,2,1,1,1,0,0,0,0
test,four_view_noKh,83322,2,1,1,1,0,0,0,0
test,four_view_noKh,84486,2,1,1,1,0,0,0,0
test,four_view_noKh,87068,2,1,1,1,0,0,0,0
test,four_view_noKh,87239,2,1,1,1,0,0,0,0
test,four_view_noKh,90994,2,1,1,1,0,0,0,0
test,four_view_noKh,93929,2,1,1,1,0,0,0,0
test,four_view_noKh,95786,2,1,1,1,0,0,0,0
test,four_view_noKh,97127,2,1,1,1,0,0,0,0
test,four_view_noKh,98005,2,1,1,1,0,0,0,0
test,four_view_noKh,98740,2,1,1,1,0,0,0,0
test,four_view_noKh,103371,2,1,1,1,0,0,0,0
test,four_view_noKh,104588,2,1,1,1,0,0,0,0
test,four_view_noKh,106202,2,1,1,1,0,0,0,0
test,four_view_noKh,106637,2,1,1,1,0,0,0,0
test,four_view_noKh,109106,2,1,1,1,0,0,0,0
test,four_view_noKh,109923,2,1,1,1,0,0,0,0
test,four_view_noKh,114361,2,1,1,1,0,0,0,0
test,four_view_noKh,114388,2,1,1,1,0,0,0,0
test,four_view_noKh,114431,2,1,1,1,0,0,0,0
test,four_view_noKh,115031,2,1,1,1,0,0,0,0
test,four_view_noKh,115358,2,1,1,1,0,0,0,0
test,four_view_noKh,117360,2,1,1,1,0,0,0,0
test,four_view_noKh,123343,2,1,1,1,0,0,0,0
test,four_view_noKh,126993,2,1,1,1,0,0,0,0
test,four_view_noKh,130317,2,1,1,1,0,0,0,0
test,four_view_noKh,131062,2,1,1,1,0,0,0,0
test,four_view_noKh,131170,2,1,1,1,0,0,0,0
test,four_view_noKh,135914,2,1,1,1,0,0,0,0
test,four_view_noKh,136602,2,1,1,1,0,0,0,0
test,four_view_noKh,136743,2,1,1,1,0,0,0,0
test,four_view_noKh,138762,2,1,1,1,0,0,0,0
test,four_view_noKh,139875,2,1,1,1,0,0,0,0
test,four_view_noKh,142924,2,1,1,1,0,0,0,0
test,four_view_noKh,144138,2,1,1,1,0,0,0,0
test,four_view_noKh,144144,2,1,1,1,0,0,0,0
test,four_view_noKh,144153,2,1,1,1,0,0,0,0
test,four_view_noKh,153361,2,1,1,1,0,0,0,0
test,four_view_noKh,154373,2,1,1,1,0,0,0,0
test,four_view_noKh,154765,2,1,1,1,0,0,0,0
test,four_view_noKh,159420,2,1,1,1,0,0,0,0
test,four_view_noKh,160391,2,1,1,1,0,0,0,0
test,four_view_noKh,164381,2,1,1,1,0,0,0,0
test,four_view_noKh,164771,2,1,1,1,0,0,0,0
test,four_view_noKh,165444,2,1,1,1,0,0,0,0
test,four_view_noKh,165618,2,1,1,1,0,0,0,0
test,four_view_noKh,165629,2,1,1,1,0,0,0,0
test,four_view_noKh,168033,2,1,1,1,0,0,0,0
test,four_view_noKh,169254,2,1,1,1,0,0,0,0
test,four_view_noKh,170287,2,1,1,1,0,0,0,0
test,four_view_noKh,171834,2,1,1,1,0,0,0,0
test,four_view_noKh,174435,2,1,1,1,0,0,0,0
test,four_view_noKh,175818,2,1,1,1,0,0,0,0
test,four_view_noKh,176093,2,1,1,1,0,0,0,0
test,four_view_noKh,176815,2,1,1,1,0,0,0,0
test,four_view_noKh,179198,2,1,1,1,0,0,0,0
test,four_view_noKh,180144,2,1,1,1,0,0,0,0
test,four_view_noKh,180209,2,1,1,1,0,0,0,0
test,four_view_noKh,180751,2,1,1,1,0,0,0,0
test,four_view_noKh,182754,2,1,1,1,0,0,0,0
test,four_view_noKh,183251,2,1,1,1,0,0,0,0
test,four_view_noKh,184369,2,1,1,1,0,0,0,0
test,four_view_noKh,185591,2,1,1,1,0,0,0,0
test,four_view_noKh,187524,2,1,1,1,0,0,0,0
test,four_view_noKh,187562,2,1,1,1,0,0,0,0
test,four_view_noKh,190703,2,1,1,1,0,0,0,0
test,four_view_noKh,193303,2,1,1,1,0,0,0,0
test,four_view_noKh,193888,2,1,1,1,0,0,0,0
test,four_view_noKh,194331,2,1,1,1,0,0,0,0
test,four_view_noKh,194427,2,1,1,1,0,0,0,0
test,four_view_noKh,200343,2,1,1,1,0,0,0,0
test,four_view_noKh,204140,2,1,1,1,0,0,0,0
test,four_view_noKh,205230,2,1,1,1,0,0,0,0
test,four_view_noKh,206502,2,1,1,1,0,0,0,0
test,four_view_noKh,209626,2,1,1,1,0,0,0,0
test,four_view_noKh,210206,2,1,1,1,0,0,0,0
test,four_view_noKh,212858,2,1,1,1,0,0,0,0
test,four_view_noKh,213317,2,1,1,1,0,0,0,0
test,four_view_noKh,215938,2,1,1,1,0,0,0,0
test,four_view_noKh,219980,2,1,1,1,0,0,0,0
test,four_view_noKh,220507,2,1,1,1,0,0,0,0
test,four_view_noKh,220629,2,1,1,1,0,0,0,0
