scope,input_family,tuple_group,knot_id_base,split,W_F,F_rank,F_support,stored_union_diagonal_count,F_tuple_group,F_reflection_orbit,stored_torsion_tuple_group
atlas,HOMFLY_PT_plus_Theta,206780,15a27729,test,2,784,30,2,1793,1777,4882
atlas,HOMFLY_PT_plus_Theta,206780,15a27866,train,2,784,30,2,1793,1777,4882
atlas,HOMFLY_PT_plus_Theta,206966,15a42326,train,2,830,30,2,1723,1707,3581
atlas,HOMFLY_PT_plus_Theta,206966,15a42412,train,2,830,30,2,1723,1707,3581
atlas,HOMFLY_PT_plus_Theta,206968,15a25220,train,2,830,30,2,1723,1707,3581
atlas,HOMFLY_PT_plus_Theta,206968,15a25950,train,2,830,30,2,1723,1707,3581
atlas,HOMFLY_PT_plus_Theta,207012,15a58070,train,2,582,30,2,2349,2327,1072
atlas,HOMFLY_PT_plus_Theta,207012,15a58169,train,2,582,30,2,2349,2327,1072
atlas,HOMFLY_PT_plus_Theta,207140,15n000164,test,3,170,36,3,2497,2471,4975
atlas,HOMFLY_PT_plus_Theta,207140,15n000188,train,3,170,36,3,2497,2471,4975
atlas,HOMFLY_PT_plus_Theta,207204,14a02481,train,2,524,28,2,298,297,4339
atlas,HOMFLY_PT_plus_Theta,207204,14a02493,train,2,524,28,2,298,297,4339
atlas,HOMFLY_PT_plus_Theta,207232,15n010848,train,3,164,35,3,3071,3043,1997
atlas,HOMFLY_PT_plus_Theta,207232,15n010854,train,3,164,35,3,3071,3043,1997
atlas,HOMFLY_PT_plus_Theta,207275,15a00901,train,2,826,30,2,1020,1009,1091
atlas,HOMFLY_PT_plus_Theta,207275,15a02071,val,2,826,30,2,1020,1009,1091
atlas,HOMFLY_PT_plus_Theta,207289,15n112464,train,3,204,34,3,5217,5134,1990
atlas,HOMFLY_PT_plus_Theta,207289,15n112473,train,3,204,34,3,5217,5134,1990
atlas,HOMFLY_PT_plus_Theta,207319,15a03241,train,2,748,30,2,1127,1116,1904
atlas,HOMFLY_PT_plus_Theta,207319,15a03244,train,2,748,30,2,1127,1116,1904
