family,size_multiplier,target_n,method,method_label,n,nonalternating_n,abs_gap_positive_prop,mean_abs_gap,abs_gap_ge_4_prop,kh_diagonal_mean,kh_diagonal_ge_3_prop,kh_diagonal_ge_4_prop,kh_support_mean,crossing_15_prop,alternating_prop
No Khovanov C3,0.5,16,residual_isolation_forest,Residual Isolation Forest,16,4,1.0,2.0,0.0,2.25,0.25,0.0,29.5,1.0,0.75
No Khovanov C3,0.5,16,conditional_percentile_100,Conditional percentile,16,15,0.8,2.0,0.2,3.25,0.875,0.375,31.8125,0.9375,0.0625
No Khovanov C3,1.0,31,raw_sse,Raw SSE,31,13,1.0,2.4615384615384617,0.23076923076923078,2.5483870967741935,0.41935483870967744,0.12903225806451613,29.838709677419356,1.0,0.5806451612903226
No Khovanov C3,1.0,31,relative_nre,Relative error,31,30,0.3,0.7333333333333333,0.06666666666666667,3.129032258064516,0.967741935483871,0.16129032258064516,32.03225806451613,0.6129032258064516,0.03225806451612903
No Khovanov C3,1.0,31,residual_mahalanobis,Residual Mahalanobis,31,12,0.9166666666666666,2.5,0.3333333333333333,2.4838709677419355,0.3548387096774194,0.12903225806451613,29.419354838709676,0.967741935483871,0.6129032258064516
No Khovanov C3,1.0,31,residual_isolation_forest,Residual Isolation Forest,31,10,1.0,2.6,0.3,2.4193548387096775,0.3225806451612903,0.0967741935483871,29.032258064516128,0.967741935483871,0.6774193548387096
No Khovanov C3,1.0,31,conditional_percentile_100,Conditional percentile,31,28,0.7857142857142857,2.0,0.21428571428571427,3.161290322580645,0.8709677419354839,0.2903225806451613,31.129032258064516,0.9032258064516129,0.0967741935483871
No Khovanov C3,2.0,62,raw_sse,Raw SSE,62,26,1.0,2.3076923076923075,0.15384615384615385,2.5161290322580645,0.41935483870967744,0.0967741935483871,29.870967741935484,0.9354838709677419,0.5806451612903226
No Khovanov C3,2.0,62,relative_nre,Relative error,62,61,0.32786885245901637,0.7868852459016393,0.06557377049180328,3.1129032258064515,0.9838709677419355,0.12903225806451613,31.225806451612904,0.5967741935483871,0.016129032258064516
No Khovanov C3,2.0,62,residual_mahalanobis,Residual Mahalanobis,62,23,0.9565217391304348,2.260869565217391,0.17391304347826086,2.4193548387096775,0.3548387096774194,0.06451612903225806,29.838709677419356,0.967741935483871,0.6290322580645161
No Khovanov C3,2.0,62,residual_isolation_forest,Residual Isolation Forest,62,26,0.9615384615384616,2.230769230769231,0.15384615384615385,2.5,0.41935483870967744,0.08064516129032258,29.70967741935484,0.967741935483871,0.5806451612903226
No Khovanov C3,2.0,62,conditional_percentile_100,Conditional percentile,62,51,0.8235294117647058,1.8823529411764706,0.11764705882352941,2.9516129032258065,0.8064516129032258,0.14516129032258066,31.177419354838708,0.8870967741935484,0.1774193548387097
