family,coordinate
T2,T2_q-33_t-13
T2,T2_q-31_t-13
T2,T2_q-37_t-13
T2,T2_q-25_t-12
T2,T2_q-19_t-10
T2,T2_q-13_t-8
T2,T2_q-7_t-6
T2,T2_q-5_t3
T2,T2_q-3_t-5
T2,T2_q-1_t-4
T2,T2_q1_t5
T2,T2_q3_t-3
T2,T2_q7_t7
T2,T2_q9_t-1
T2,T2_q9_t8
T2,T2_q13_t1
T2,T2_q13_t9
T2,T2_q15_t10
T2,T2_q19_t11
T2,T2_q21_t12
T2,T2_q27_t14
T2,T2_q29_t14
T2,T2_q35_t16
T2,T2_q37_t16
T2,T2_q39_t16
T2,T2_q41_t16
T2,T2_q43_t16
T2,T2_q-39_t-14
T2,T2_q-37_t-14
T2,T2_q-35_t-14
T2,T2_q-33_t-14
T2,T2_q-31_t-14
T2,T2_q-29_t-13
T2,T2_q-17_t-2
T2,T2_q25_t13
T2,T2_q-45_t-16
T2,T2_q-43_t-16
T2,T2_q-43_t-15
T2,T2_q-41_t-16
T2,T2_q-41_t-15
T2,T2_q-41_t-14
T2,T2_q-39_t-16
T2,T2_q-39_t-15
T2,T2_q-39_t-13
T2,T2_q-37_t-16
T2,T2_q-37_t-15
T2,T2_q-37_t-12
T2,T2_q-35_t-15
T2,T2_q-35_t-11
T2,T2_q-33_t-10
T2,T2_q-31_t-9
T2,T2_q-29_t-8
T2,T2_q-27_t-13
T2,T2_q-27_t-7
T2,T2_q-25_t-6
T2,T2_q-23_t-5
T2,T2_q-21_t-11
T2,T2_q-21_t-4
T2,T2_q-19_t-3
T2,T2_q-15_t-9
T2,T2_q-15_t-1
T2,T2_q-9_t-7
T2,T2_q3_t6
T2,T2_q5_t-2
T2,T2_q11_t0
T2,T2_q17_t2
T2,T2_q21_t4
T2,T2_q25_t6
T2,T2_q29_t8
T2,T2_q33_t10
T2,T2_q35_t17
T2,T2_q37_t12
T2,T2_q37_t17
T2,T2_q39_t17
T2,T2_q41_t14
T2,T2_q41_t17
T2,T2_q43_t17
T2,T2_q45_t16
T2,T2_q45_t17
T2,T2_q47_t17
