coordinate,index1,index2,parse_method,family
T2_q-5_t1,-5,1,explicit_q_t,T2
T2_q-5_t2,-5,2,explicit_q_t,T2
T2_q-3_t-4,-3,-4,explicit_q_t,T2
T2_q-3_t-3,-3,-3,explicit_q_t,T2
T2_q-3_t-2,-3,-2,explicit_q_t,T2
T2_q-3_t-1,-3,-1,explicit_q_t,T2
T2_q-3_t0,-3,0,explicit_q_t,T2
T2_q-3_t1,-3,1,explicit_q_t,T2
T2_q-3_t2,-3,2,explicit_q_t,T2
T2_q-3_t3,-3,3,explicit_q_t,T2
T2_q-1_t-3,-1,-3,explicit_q_t,T2
T2_q-1_t-2,-1,-2,explicit_q_t,T2
T2_q-1_t-1,-1,-1,explicit_q_t,T2
T2_q-1_t0,-1,0,explicit_q_t,T2
T2_q-1_t1,-1,1,explicit_q_t,T2
T2_q-1_t2,-1,2,explicit_q_t,T2
T2_q-1_t3,-1,3,explicit_q_t,T2
T2_q1_t-3,1,-3,explicit_q_t,T2
T2_q1_t-2,1,-2,explicit_q_t,T2
T2_q1_t-1,1,-1,explicit_q_t,T2
T2_q1_t0,1,0,explicit_q_t,T2
T2_q1_t1,1,1,explicit_q_t,T2
T2_q1_t2,1,2,explicit_q_t,T2
T2_q1_t3,1,3,explicit_q_t,T2
T2_q1_t4,1,4,explicit_q_t,T2
T2_q3_t-1,3,-1,explicit_q_t,T2
T2_q3_t0,3,0,explicit_q_t,T2
T2_q3_t1,3,1,explicit_q_t,T2
T2_q3_t2,3,2,explicit_q_t,T2
T2_q3_t3,3,3,explicit_q_t,T2
T2_q3_t4,3,4,explicit_q_t,T2
T2_q3_t5,3,5,explicit_q_t,T2
T2_q5_t-1,5,-1,explicit_q_t,T2
T2_q5_t0,5,0,explicit_q_t,T2
T2_q5_t1,5,1,explicit_q_t,T2
T2_q5_t2,5,2,explicit_q_t,T2
T2_q5_t3,5,3,explicit_q_t,T2
T2_q5_t4,5,4,explicit_q_t,T2
T2_q5_t5,5,5,explicit_q_t,T2
T2_q7_t-1,7,-1,explicit_q_t,T2
T2_q7_t0,7,0,explicit_q_t,T2
T2_q7_t1,7,1,explicit_q_t,T2
T2_q7_t2,7,2,explicit_q_t,T2
T2_q7_t3,7,3,explicit_q_t,T2
T2_q7_t4,7,4,explicit_q_t,T2
T2_q7_t5,7,5,explicit_q_t,T2
T2_q7_t6,7,6,explicit_q_t,T2
T2_q9_t1,9,1,explicit_q_t,T2
T2_q9_t2,9,2,explicit_q_t,T2
T2_q9_t3,9,3,explicit_q_t,T2
T2_q9_t4,9,4,explicit_q_t,T2
T2_q9_t5,9,5,explicit_q_t,T2
T2_q9_t6,9,6,explicit_q_t,T2
T2_q9_t7,9,7,explicit_q_t,T2
T2_q11_t1,11,1,explicit_q_t,T2
T2_q11_t2,11,2,explicit_q_t,T2
T2_q11_t3,11,3,explicit_q_t,T2
T2_q11_t4,11,4,explicit_q_t,T2
T2_q11_t5,11,5,explicit_q_t,T2
T2_q11_t6,11,6,explicit_q_t,T2
T2_q11_t7,11,7,explicit_q_t,T2
T2_q11_t8,11,8,explicit_q_t,T2
T2_q13_t2,13,2,explicit_q_t,T2
T2_q13_t3,13,3,explicit_q_t,T2
T2_q13_t4,13,4,explicit_q_t,T2
T2_q13_t5,13,5,explicit_q_t,T2
T2_q13_t6,13,6,explicit_q_t,T2
T2_q13_t7,13,7,explicit_q_t,T2
T2_q13_t8,13,8,explicit_q_t,T2
T2_q15_t3,15,3,explicit_q_t,T2
T2_q15_t4,15,4,explicit_q_t,T2
T2_q15_t5,15,5,explicit_q_t,T2
T2_q15_t6,15,6,explicit_q_t,T2
T2_q15_t7,15,7,explicit_q_t,T2
T2_q15_t8,15,8,explicit_q_t,T2
T2_q15_t9,15,9,explicit_q_t,T2
T2_q17_t3,17,3,explicit_q_t,T2
T2_q17_t4,17,4,explicit_q_t,T2
T2_q17_t5,17,5,explicit_q_t,T2
T2_q17_t6,17,6,explicit_q_t,T2
T2_q17_t7,17,7,explicit_q_t,T2
T2_q17_t8,17,8,explicit_q_t,T2
T2_q17_t9,17,9,explicit_q_t,T2
T2_q17_t10,17,10,explicit_q_t,T2
T2_q19_t5,19,5,explicit_q_t,T2
T2_q19_t6,19,6,explicit_q_t,T2
T2_q19_t7,19,7,explicit_q_t,T2
T2_q19_t8,19,8,explicit_q_t,T2
T2_q19_t9,19,9,explicit_q_t,T2
T2_q19_t10,19,10,explicit_q_t,T2
T2_q21_t5,21,5,explicit_q_t,T2
T2_q21_t6,21,6,explicit_q_t,T2
T2_q21_t7,21,7,explicit_q_t,T2
T2_q21_t8,21,8,explicit_q_t,T2
T2_q21_t9,21,9,explicit_q_t,T2
T2_q21_t10,21,10,explicit_q_t,T2
T2_q21_t11,21,11,explicit_q_t,T2
T2_q23_t7,23,7,explicit_q_t,T2
T2_q23_t8,23,8,explicit_q_t,T2
T2_q23_t9,23,9,explicit_q_t,T2
T2_q23_t10,23,10,explicit_q_t,T2
T2_q23_t11,23,11,explicit_q_t,T2
T2_q23_t12,23,12,explicit_q_t,T2
T2_q25_t7,25,7,explicit_q_t,T2
T2_q25_t8,25,8,explicit_q_t,T2
T2_q25_t9,25,9,explicit_q_t,T2
T2_q25_t10,25,10,explicit_q_t,T2
T2_q25_t11,25,11,explicit_q_t,T2
T2_q25_t12,25,12,explicit_q_t,T2
T2_q27_t9,27,9,explicit_q_t,T2
T2_q27_t10,27,10,explicit_q_t,T2
T2_q27_t11,27,11,explicit_q_t,T2
T2_q27_t12,27,12,explicit_q_t,T2
T2_q27_t13,27,13,explicit_q_t,T2
T2_q29_t9,29,9,explicit_q_t,T2
T2_q29_t10,29,10,explicit_q_t,T2
T2_q29_t11,29,11,explicit_q_t,T2
T2_q29_t12,29,12,explicit_q_t,T2
T2_q29_t13,29,13,explicit_q_t,T2
T2_q31_t11,31,11,explicit_q_t,T2
T2_q31_t12,31,12,explicit_q_t,T2
T2_q31_t13,31,13,explicit_q_t,T2
T2_q31_t14,31,14,explicit_q_t,T2
T2_q33_t11,33,11,explicit_q_t,T2
T2_q33_t12,33,12,explicit_q_t,T2
T2_q33_t13,33,13,explicit_q_t,T2
T2_q33_t14,33,14,explicit_q_t,T2
T2_q35_t13,35,13,explicit_q_t,T2
T2_q35_t14,35,14,explicit_q_t,T2
T2_q37_t13,37,13,explicit_q_t,T2
T2_q37_t14,37,14,explicit_q_t,T2
T2_q-35_t-12,-35,-12,explicit_q_t,T2
T2_q-33_t-11,-33,-11,explicit_q_t,T2
T2_q-31_t-10,-31,-10,explicit_q_t,T2
T2_q-29_t-9,-29,-9,explicit_q_t,T2
T2_q-27_t-8,-27,-8,explicit_q_t,T2
T2_q-25_t-7,-25,-7,explicit_q_t,T2
T2_q-23_t-11,-23,-11,explicit_q_t,T2
T2_q-23_t-6,-23,-6,explicit_q_t,T2
T2_q-21_t-5,-21,-5,explicit_q_t,T2
T2_q-19_t-4,-19,-4,explicit_q_t,T2
T2_q-17_t-9,-17,-9,explicit_q_t,T2
T2_q-17_t-3,-17,-3,explicit_q_t,T2
T2_q-13_t-1,-13,-1,explicit_q_t,T2
T2_q-11_t-7,-11,-7,explicit_q_t,T2
T2_q-11_t0,-11,0,explicit_q_t,T2
T2_q-9_t1,-9,1,explicit_q_t,T2
T2_q-7_t2,-7,2,explicit_q_t,T2
T2_q-1_t4,-1,4,explicit_q_t,T2
T2_q3_t-2,3,-2,explicit_q_t,T2
T2_q5_t6,5,6,explicit_q_t,T2
T2_q9_t0,9,0,explicit_q_t,T2
T2_q15_t2,15,2,explicit_q_t,T2
T2_q19_t3,19,3,explicit_q_t,T2
T2_q19_t4,19,4,explicit_q_t,T2
T2_q23_t5,23,5,explicit_q_t,T2
T2_q23_t6,23,6,explicit_q_t,T2
T2_q27_t7,27,7,explicit_q_t,T2
T2_q27_t8,27,8,explicit_q_t,T2
T2_q31_t9,31,9,explicit_q_t,T2
T2_q31_t10,31,10,explicit_q_t,T2
T2_q31_t15,31,15,explicit_q_t,T2
T2_q33_t15,33,15,explicit_q_t,T2
T2_q35_t11,35,11,explicit_q_t,T2
T2_q35_t12,35,12,explicit_q_t,T2
T2_q35_t15,35,15,explicit_q_t,T2
T2_q37_t15,37,15,explicit_q_t,T2
T2_q39_t13,39,13,explicit_q_t,T2
T2_q39_t14,39,14,explicit_q_t,T2
T2_q39_t15,39,15,explicit_q_t,T2
T2_q41_t15,41,15,explicit_q_t,T2
T2_q43_t15,43,15,explicit_q_t,T2
T2_q-35_t-13,-35,-13,explicit_q_t,T2
T2_q-33_t-13,-33,-13,explicit_q_t,T2
T2_q-31_t-13,-31,-13,explicit_q_t,T2
T2_q-37_t-13,-37,-13,explicit_q_t,T2
T2_q-25_t-12,-25,-12,explicit_q_t,T2
T2_q-19_t-10,-19,-10,explicit_q_t,T2
T2_q-13_t-8,-13,-8,explicit_q_t,T2
T2_q-7_t-6,-7,-6,explicit_q_t,T2
T2_q-5_t3,-5,3,explicit_q_t,T2
T2_q-3_t-5,-3,-5,explicit_q_t,T2
T2_q-1_t-4,-1,-4,explicit_q_t,T2
T2_q1_t5,1,5,explicit_q_t,T2
T2_q3_t-3,3,-3,explicit_q_t,T2
T2_q7_t7,7,7,explicit_q_t,T2
T2_q9_t-1,9,-1,explicit_q_t,T2
T2_q9_t8,9,8,explicit_q_t,T2
T2_q13_t1,13,1,explicit_q_t,T2
T2_q13_t9,13,9,explicit_q_t,T2
T2_q15_t10,15,10,explicit_q_t,T2
T2_q19_t11,19,11,explicit_q_t,T2
T2_q21_t12,21,12,explicit_q_t,T2
T2_q27_t14,27,14,explicit_q_t,T2
T2_q29_t14,29,14,explicit_q_t,T2
T2_q35_t16,35,16,explicit_q_t,T2
T2_q37_t16,37,16,explicit_q_t,T2
T2_q39_t16,39,16,explicit_q_t,T2
T2_q41_t16,41,16,explicit_q_t,T2
T2_q43_t16,43,16,explicit_q_t,T2
T2_q-39_t-14,-39,-14,explicit_q_t,T2
T2_q-37_t-14,-37,-14,explicit_q_t,T2
T2_q-35_t-14,-35,-14,explicit_q_t,T2
T2_q-33_t-14,-33,-14,explicit_q_t,T2
T2_q-31_t-14,-31,-14,explicit_q_t,T2
T2_q-29_t-13,-29,-13,explicit_q_t,T2
T2_q-17_t-2,-17,-2,explicit_q_t,T2
T2_q25_t13,25,13,explicit_q_t,T2
T2_q-45_t-16,-45,-16,explicit_q_t,T2
T2_q-43_t-16,-43,-16,explicit_q_t,T2
T2_q-43_t-15,-43,-15,explicit_q_t,T2
T2_q-41_t-16,-41,-16,explicit_q_t,T2
T2_q-41_t-15,-41,-15,explicit_q_t,T2
T2_q-41_t-14,-41,-14,explicit_q_t,T2
T2_q-39_t-16,-39,-16,explicit_q_t,T2
T2_q-39_t-15,-39,-15,explicit_q_t,T2
T2_q-39_t-13,-39,-13,explicit_q_t,T2
T2_q-37_t-16,-37,-16,explicit_q_t,T2
T2_q-37_t-15,-37,-15,explicit_q_t,T2
T2_q-37_t-12,-37,-12,explicit_q_t,T2
T2_q-35_t-15,-35,-15,explicit_q_t,T2
T2_q-35_t-11,-35,-11,explicit_q_t,T2
T2_q-33_t-10,-33,-10,explicit_q_t,T2
T2_q-31_t-9,-31,-9,explicit_q_t,T2
T2_q-29_t-8,-29,-8,explicit_q_t,T2
T2_q-27_t-13,-27,-13,explicit_q_t,T2
T2_q-27_t-7,-27,-7,explicit_q_t,T2
T2_q-25_t-6,-25,-6,explicit_q_t,T2
T2_q-23_t-5,-23,-5,explicit_q_t,T2
T2_q-21_t-11,-21,-11,explicit_q_t,T2
T2_q-21_t-4,-21,-4,explicit_q_t,T2
T2_q-19_t-3,-19,-3,explicit_q_t,T2
T2_q-15_t-9,-15,-9,explicit_q_t,T2
T2_q-15_t-1,-15,-1,explicit_q_t,T2
T2_q-9_t-7,-9,-7,explicit_q_t,T2
T2_q3_t6,3,6,explicit_q_t,T2
T2_q5_t-2,5,-2,explicit_q_t,T2
T2_q11_t0,11,0,explicit_q_t,T2
T2_q17_t2,17,2,explicit_q_t,T2
T2_q21_t4,21,4,explicit_q_t,T2
T2_q25_t6,25,6,explicit_q_t,T2
T2_q29_t8,29,8,explicit_q_t,T2
T2_q33_t10,33,10,explicit_q_t,T2
T2_q35_t17,35,17,explicit_q_t,T2
T2_q37_t12,37,12,explicit_q_t,T2
T2_q37_t17,37,17,explicit_q_t,T2
T2_q39_t17,39,17,explicit_q_t,T2
T2_q41_t14,41,14,explicit_q_t,T2
T2_q41_t17,41,17,explicit_q_t,T2
T2_q43_t17,43,17,explicit_q_t,T2
T2_q45_t16,45,16,explicit_q_t,T2
T2_q45_t17,45,17,explicit_q_t,T2
T2_q47_t17,47,17,explicit_q_t,T2
T2_q21_t3,21,3,explicit_q_t,T2
T2_q25_t5,25,5,explicit_q_t,T2
T2_q29_t7,29,7,explicit_q_t,T2
T2_q33_t9,33,9,explicit_q_t,T2
T2_q37_t11,37,11,explicit_q_t,T2
T2_q41_t13,41,13,explicit_q_t,T2
T2_q45_t15,45,15,explicit_q_t,T2
T2_q49_t17,49,17,explicit_q_t,T2
T2_q-19_t-2,-19,-2,explicit_q_t,T2
T2_q-13_t0,-13,0,explicit_q_t,T2
T2_q-9_t2,-9,2,explicit_q_t,T2
T2_q-3_t4,-3,4,explicit_q_t,T2
