residual_dim,method,family,affected_by_compression,metric,value,value_at_dim64,difference
128,raw_sse,Original raw strict 5/5,False,kh_diagonal_ge_3_prop,0.41025641025641024,0.41025641025641024,0.0
128,raw_sse,Original raw strict 5/5,False,kh_support_mean,30.692307692307693,30.692307692307693,0.0
128,raw_sse,Original raw strict 5/5,False,crossing_15_prop,1.0,1.0,0.0
128,raw_sse,Original raw strict 5/5,False,alternating_prop,0.5897435897435898,0.5897435897435898,0.0
128,relative_nre,All 5 >=3/5,False,n,18.0,18.0,0.0
128,relative_nre,All 5 >=3/5,False,nonalternating_n,18.0,18.0,0.0
128,relative_nre,All 5 >=3/5,False,abs_gap_positive_prop,0.3333333333333333,0.3333333333333333,0.0
128,relative_nre,All 5 >=3/5,False,mean_abs_gap,0.8888888888888888,0.8888888888888888,0.0
128,relative_nre,All 5 >=3/5,False,abs_gap_ge_4_prop,0.1111111111111111,0.1111111111111111,0.0
128,relative_nre,All 5 >=3/5,False,kh_diagonal_mean,3.388888888888889,3.388888888888889,0.0
128,relative_nre,All 5 >=3/5,False,kh_diagonal_ge_3_prop,0.9444444444444444,0.9444444444444444,0.0
128,relative_nre,All 5 >=3/5,False,kh_support_mean,29.77777777777778,29.77777777777778,0.0
128,relative_nre,All 5 >=3/5,False,crossing_15_prop,0.4444444444444444,0.4444444444444444,0.0
128,relative_nre,All 5 >=3/5,False,alternating_prop,0.0,0.0,0.0
128,relative_nre,No Khovanov >=3/4,False,n,5.0,5.0,0.0
128,relative_nre,No Khovanov >=3/4,False,nonalternating_n,5.0,5.0,0.0
128,relative_nre,No Khovanov >=3/4,False,abs_gap_positive_prop,0.6,0.6,0.0
128,relative_nre,No Khovanov >=3/4,False,mean_abs_gap,1.6,1.6,0.0
128,relative_nre,No Khovanov >=3/4,False,abs_gap_ge_4_prop,0.2,0.2,0.0
128,relative_nre,No Khovanov >=3/4,False,kh_diagonal_mean,3.6,3.6,0.0
128,relative_nre,No Khovanov >=3/4,False,kh_diagonal_ge_3_prop,1.0,1.0,0.0
128,relative_nre,No Khovanov >=3/4,False,kh_support_mean,31.4,31.4,0.0
128,relative_nre,No Khovanov >=3/4,False,crossing_15_prop,0.6,0.6,0.0
128,relative_nre,No Khovanov >=3/4,False,alternating_prop,0.0,0.0,0.0
128,residual_mahalanobis,All 5 >=3/5,True,n,330.0,334.0,-4.0
128,residual_mahalanobis,All 5 >=3/5,True,nonalternating_n,144.0,139.0,5.0
128,residual_mahalanobis,All 5 >=3/5,True,abs_gap_positive_prop,0.625,0.6115107913669064,0.013489208633093552
128,residual_mahalanobis,All 5 >=3/5,True,mean_abs_gap,1.3333333333333333,1.3093525179856116,0.023980815347721673
128,residual_mahalanobis,All 5 >=3/5,True,abs_gap_ge_4_prop,0.041666666666666664,0.04316546762589928,-0.0014988009592326185
128,residual_mahalanobis,All 5 >=3/5,True,kh_diagonal_mean,2.3545454545454545,2.3353293413173652,0.01921611322808925
128,residual_mahalanobis,All 5 >=3/5,True,kh_diagonal_ge_3_prop,0.32727272727272727,0.3083832335329341,0.01888949373979315
128,residual_mahalanobis,All 5 >=3/5,True,kh_support_mean,29.69090909090909,29.74550898203593,-0.05459989112683772
128,residual_mahalanobis,All 5 >=3/5,True,crossing_15_prop,0.9484848484848485,0.9520958083832335,-0.003610959898385002
128,residual_mahalanobis,All 5 >=3/5,True,alternating_prop,0.5636363636363636,0.5838323353293413,-0.02019597169297771
128,residual_mahalanobis,No Khovanov >=3/4,True,n,275.0,275.0,0.0
128,residual_mahalanobis,No Khovanov >=3/4,True,nonalternating_n,96.0,96.0,0.0
128,residual_mahalanobis,No Khovanov >=3/4,True,abs_gap_positive_prop,0.59375,0.59375,0.0
128,residual_mahalanobis,No Khovanov >=3/4,True,mean_abs_gap,1.2916666666666667,1.2916666666666667,0.0
128,residual_mahalanobis,No Khovanov >=3/4,True,abs_gap_ge_4_prop,0.052083333333333336,0.052083333333333336,0.0
128,residual_mahalanobis,No Khovanov >=3/4,True,kh_diagonal_mean,2.2654545454545456,2.2654545454545456,0.0
128,residual_mahalanobis,No Khovanov >=3/4,True,kh_diagonal_ge_3_prop,0.24,0.24,0.0
128,residual_mahalanobis,No Khovanov >=3/4,True,kh_support_mean,29.625454545454545,29.625454545454545,0.0
128,residual_mahalanobis,No Khovanov >=3/4,True,crossing_15_prop,0.9672727272727273,0.9672727272727273,0.0
128,residual_mahalanobis,No Khovanov >=3/4,True,alternating_prop,0.6509090909090909,0.6509090909090909,0.0
128,residual_isolation_forest,All 5 >=3/5,True,n,205.0,230.0,-25.0
128,residual_isolation_forest,All 5 >=3/5,True,nonalternating_n,98.0,111.0,-13.0
128,residual_isolation_forest,All 5 >=3/5,True,abs_gap_positive_prop,0.8469387755102041,0.8198198198198198,0.02711895569038436
128,residual_isolation_forest,All 5 >=3/5,True,mean_abs_gap,1.816326530612245,1.7477477477477477,0.06857878286449726
128,residual_isolation_forest,All 5 >=3/5,True,abs_gap_ge_4_prop,0.061224489795918366,0.05405405405405406,0.007170435741864309
128,residual_isolation_forest,All 5 >=3/5,True,kh_diagonal_mean,2.473170731707317,2.4782608695652173,-0.005090137857900245
128,residual_isolation_forest,All 5 >=3/5,True,kh_diagonal_ge_3_prop,0.43414634146341463,0.4434782608695652,-0.00933191940615058
128,residual_isolation_forest,All 5 >=3/5,True,kh_support_mean,30.526829268292683,30.62608695652174,-0.09925768822905567
128,residual_isolation_forest,All 5 >=3/5,True,crossing_15_prop,0.9609756097560975,0.9608695652173913,0.0001060445387062181
128,residual_isolation_forest,All 5 >=3/5,True,alternating_prop,0.5219512195121951,0.5173913043478261,0.004559915164369044
128,residual_isolation_forest,No Khovanov >=3/4,True,n,107.0,120.0,-13.0
128,residual_isolation_forest,No Khovanov >=3/4,True,nonalternating_n,32.0,43.0,-11.0
128,residual_isolation_forest,No Khovanov >=3/4,True,abs_gap_positive_prop,1.0,0.9069767441860465,0.09302325581395354
128,residual_isolation_forest,No Khovanov >=3/4,True,mean_abs_gap,2.25,2.0,0.25
