assignment,knot_id_base
global_all_mirrored,15n033851
global_all_mirrored,15n038323
global_all_mirrored,15n038419
global_all_mirrored,15n040125
global_all_mirrored,15n041009
global_all_mirrored,15n041132
global_all_mirrored,15n043686
global_all_mirrored,15n045218
global_all_mirrored,15n046405
global_all_mirrored,15n046450
global_all_mirrored,15n046508
global_all_mirrored,15n046825
global_all_mirrored,15n048057
global_all_mirrored,15n050148
global_all_mirrored,15n050179
global_all_mirrored,15n054115
global_all_mirrored,15n055347
global_all_mirrored,15n055395
global_all_mirrored,15n055558
global_all_mirrored,15n055602
global_all_mirrored,15n056608
global_all_mirrored,15n057093
global_all_mirrored,15n058010
global_all_mirrored,15n060856
global_all_mirrored,15n061299
global_all_mirrored,15n062629
global_all_mirrored,15n062696
global_all_mirrored,15n068007
global_all_mirrored,15n068021
global_all_mirrored,15n068323
global_all_mirrored,15n079291
global_all_mirrored,15n080794
global_all_mirrored,15n082717
global_all_mirrored,15n083035
global_all_mirrored,15n084090
global_all_mirrored,15n084272
global_all_mirrored,15n084300
global_all_mirrored,15n084461
global_all_mirrored,15n086486
global_all_mirrored,15n086622
global_all_mirrored,15n087652
global_all_mirrored,15n087971
global_all_mirrored,15n088458
global_all_mirrored,15n089064
global_all_mirrored,15n093546
global_all_mirrored,15n094282
global_all_mirrored,15n094893
global_all_mirrored,15n096183
global_all_mirrored,15n096562
global_all_mirrored,15n103051
global_all_mirrored,15n106833
global_all_mirrored,15n107018
global_all_mirrored,15n107177
global_all_mirrored,15n107223
global_all_mirrored,15n108154
global_all_mirrored,15n108315
global_all_mirrored,15n110206
global_all_mirrored,15n110281
global_all_mirrored,15n115419
global_all_mirrored,15n115629
global_all_mirrored,15n116367
global_all_mirrored,15n116901
global_all_mirrored,15n119483
global_all_mirrored,15n120002
global_all_mirrored,15n122242
global_all_mirrored,15n122445
global_all_mirrored,15n122907
global_all_mirrored,15n125077
global_all_mirrored,15n130688
global_all_mirrored,15n133019
global_all_mirrored,15n133040
global_all_mirrored,15n133702
global_all_mirrored,15n135861
global_all_mirrored,15n135916
global_all_mirrored,15n136334
global_all_mirrored,15n137353
global_all_mirrored,15n139999
global_all_mirrored,15n140472
global_all_mirrored,15n140484
global_all_mirrored,15n140504
global_all_mirrored,15n140512
global_all_mirrored,15n140525
global_all_mirrored,15n140634
global_all_mirrored,15n142168
global_all_mirrored,15n142188
global_all_mirrored,15n142411
global_all_mirrored,15n143434
global_all_mirrored,15n143607
global_all_mirrored,15n143746
global_all_mirrored,15n147304
global_all_mirrored,15n148674
global_all_mirrored,15n149210
global_all_mirrored,15n150441
global_all_mirrored,15n156260
global_all_mirrored,15n158421
global_all_mirrored,15n159643
global_all_mirrored,15n159744
global_all_mirrored,15n159774
global_all_mirrored,15n159815
global_all_mirrored,15n160316
global_all_mirrored,15n161008
global_all_mirrored,15n161040
global_all_mirrored,15n161055
global_all_mirrored,15n163276
global_all_mirrored,15n163295
global_all_mirrored,15n163303
global_all_mirrored,15n163311
global_all_mirrored,15n163322
global_all_mirrored,15n163697
global_all_mirrored,15n163708
global_all_mirrored,15n163769
global_all_mirrored,15n164605
global_all_mirrored,15n164606
global_all_mirrored,15n164613
global_all_mirrored,15n164614
global_all_mirrored,15n164615
global_all_mirrored,15n164617
global_all_mirrored,15n164618
global_all_mirrored,15n166674
random_seed_20260830,13a3092
random_seed_20260830,13a4878
random_seed_20260830,14n01955
random_seed_20260830,14n03580
random_seed_20260830,14n04819
random_seed_20260830,14n05024
random_seed_20260830,14n06022
random_seed_20260830,14n06023
random_seed_20260830,14n07507
random_seed_20260830,14n07560
random_seed_20260830,14n07838
random_seed_20260830,14n08362
random_seed_20260830,14n08510
random_seed_20260830,14n09219
random_seed_20260830,14n09274
random_seed_20260830,14n09525
random_seed_20260830,14n09742
random_seed_20260830,14n10320
random_seed_20260830,14n11322
random_seed_20260830,14n11799
random_seed_20260830,14n12201
random_seed_20260830,14n12557
random_seed_20260830,14n12701
random_seed_20260830,14n13191
random_seed_20260830,14n14544
random_seed_20260830,14n14620
random_seed_20260830,14n15317
random_seed_20260830,14n15856
random_seed_20260830,14n16364
random_seed_20260830,14n17435
random_seed_20260830,14n18079
random_seed_20260830,14n18217
random_seed_20260830,14n18290
random_seed_20260830,14n19749
random_seed_20260830,14n19763
random_seed_20260830,14n19768
random_seed_20260830,14n19772
random_seed_20260830,14n19894
random_seed_20260830,14n19947
random_seed_20260830,14n19984
random_seed_20260830,14n20188
random_seed_20260830,14n20375
random_seed_20260830,14n20382
random_seed_20260830,14n20459
random_seed_20260830,14n20460
random_seed_20260830,14n20483
random_seed_20260830,14n20502
random_seed_20260830,14n20614
random_seed_20260830,14n20618
random_seed_20260830,14n20623
